excel_name,existing_name_candidate,similarity,action,manual_decision
A 테스트현장1,,0.154,review,new
A테스트현장2,,0.2,review,new
SM프라자(당동빌딩),,0,review,new
대장동338-2 디아크빌,대장동338-2(은우주택)디아크빌,1.0,rename,merge:대장동338-2(은우주택)디아크빌
"덕은동611-1 , 대덕산2길 68",덕은동611-1(수성주택관리) 대덕산2길 68,0.944,rename,merge:덕은동611-1(수성주택관리) 대덕산2길 68
루미나리타운(104동),루미나리타운,1.0,rename,merge:루미나리타운
루미나리타운(105동),루미나리타운,1.0,rename,new
물향기2로46(운정3지구 C4-17-1_R01),물향기2로46(이강종건/운정3지구 C4-17-1_R01),1.0,rename,merge:물향기2로46(이강종건/운정3지구 C4-17-1_R01)
삼송동364-1,삼송동364-1(법륜),1.0,rename,merge:삼송동364-1(법륜)
삼송동366-5,삼송동366-5(주택근),1.0,rename,merge:삼송동366-5(주택근)
어반트리A동(더부띠크),어반트리C동(더부띠크),0.833,rename,merge:어반트리C동(더부띠크)
원흥동660-3,원흥동660-3(주택근),1.0,rename,merge:원흥동660-3(주택근)
원흥동664-3,원흥동664-3(주택근),1.0,rename,merge:원흥동664-3(주택근)
주교동문화빌딩(2호기),,0.2,review,new
향동동124-7 꽃내음1길 155,향동동124-7(주택근)꽃내음1길 155,1.0,rename,merge:향동동124-7(주택근)꽃내음1길 155
향동동141-5주택 꽃내음2길26,향동동141-5주택(박경자)꽃내음2길26,1.0,rename,merge:향동동141-5주택(박경자)꽃내음2길26
